Date,Local Route,Light Rail,Peak Service,Rapid Route,School,Other
21/08/2024,"17,117","11,370",351,"21,000","4,757",102
30/04/2020,"2,989","1,640",60,"3,682",86,0
11/07/2024,"12,010","9,618",325,"16,433",0,79
01/11/2020,"2,082","2,560",0,"4,260",0,22
16/03/2022,"14,079","8,440",267,"15,871","5,085",137
29/11/2022,"14,534","9,800",249,"16,362","3,665",50
11/10/2023,"17,232","11,611",354,"21,004","5,297",84
03/02/2024,"4,324","5,584",0,"8,276",0,19
23/11/2019,"3,819","8,161",0,"9,533",0,115
07/12/2020,"13,012","7,713",214,"13,917","3,705",42
05/03/2022,"2,941","4,142",0,"6,034",0,11
14/08/2019,"18,996","12,111",477,"26,214","5,567",0
23/06/2024,"2,736","4,271",0,"6,258",0,29
12/07/2024,"11,361","9,231",220,"15,268",0,63
13/08/2021,"2,339","1,214",16,"2,474",9,11
13/04/2022,"9,915","7,671",235,"13,210",0,58
10/03/2021,"16,721","9,261",353,"18,172","5,784",70
15/01/2024,"11,249","8,376",332,"14,407",0,49
29/09/2022,"11,123","9,207",202,"15,486",0,57
29/03/2022,"13,418","8,535",255,"15,308","4,970",57
22/06/2022,"12,441","8,744",227,"14,611","3,798",55
16/10/2020,"12,902","7,135",192,"13,176","5,127",37
03/09/2022,"3,400","5,289",0,"7,369",0,24
23/06/2020,"9,044","5,188",158,"10,514","4,819",6
06/09/2020,"1,687","2,709",0,"3,998",0,10
03/01/2021,"1,509","2,415",0,"3,241",0,13
08/02/2021,"15,767","8,629",276,"15,967","6,561",59
11/02/2024,"2,819","4,822",0,"6,914",0,13
29/07/2019,"18,743","11,530",408,"24,273","5,962",13
25/05/2022,"13,683","9,034",234,"15,536","4,531",54
02/08/2020,"1,733","2,489",0,"3,663",0,22
01/07/2021,"10,114","7,269",267,"12,813",0,56
12/08/2022,"13,072","8,453",152,"14,451","4,094",44
18/06/2024,"16,395","10,312",346,"18,537","4,893",71
22/01/2023,"2,196","3,969",0,"5,130",0,13
28/08/2020,"12,135","6,702",163,"12,374","4,381",59
19/05/2022,"13,710","8,879",269,"15,691","4,375",71
10/02/2022,"12,567","6,327",128,"11,990","5,629",61
19/11/2019,"18,567","11,812",491,"24,402","5,733",0
16/12/2021,"11,175","7,493",197,"13,145",756,63
07/11/2021,"1,474","2,342",0,"3,389",0,16
19/05/2021,"16,548","9,492",323,"17,840","5,307",65
18/07/2022,"12,338","7,825",198,"13,925","2,244",54
11/06/2023,"2,543","4,608",0,"6,010",0,20
25/01/2021,"8,323","5,489",144,"9,855",0,37
26/08/2019,"18,395","11,678",403,"24,636","5,465",0
07/07/2024,"2,465","4,161",0,"5,987",0,27
31/03/2021,"16,718","9,942",294,"18,162","5,493",161
29/02/2020,"3,954","9,259",0,"10,078",0,2
27/07/2022,"13,714","7,700",227,"15,424","4,499",60
18/03/2023,"4,108","6,610",0,"9,131",0,14
24/08/2023,"16,419","11,475",344,"20,303","4,587",105
21/04/2023,"11,993","9,988",254,"16,913",0,72
24/06/2024,"14,879","9,397",322,"17,133","4,438",95
03/10/2020,"2,448","3,993",0,"5,499",0,23
01/02/2020,"3,026","4,498",0,"6,305",0,33
05/01/2022,"5,643","3,514",49,"6,297",0,40
19/11/2020,"13,991","7,885",244,"14,789","4,725",39
15/08/2023,"16,373","11,618",369,"21,095","4,738",89
14/10/2019,"18,081","11,873",410,"24,562","5,797",0
05/08/2023,"4,155","6,994",0,"8,851",0,22
05/04/2024,"15,674","9,502",289,"17,610","5,192",95
21/07/2019,"4,045","4,739",0,"6,000",0,0
12/09/2019,"18,465","11,622",438,"24,108","5,712",0
01/06/2021,"16,356","9,283",324,"17,202","5,675",64
27/10/2023,"16,154","10,881",235,"18,718","4,686",85
14/06/2020,"1,386","2,106",0,"3,074",0,3
25/11/2020,"13,693","8,078",283,"14,925","4,722",74
25/08/2021,"2,035",720,23,"1,846",0,12
16/01/2024,"11,999","9,403",363,"15,236",0,73
28/04/2023,"16,250","10,883",287,"19,003","5,330",110
05/06/2024,"16,822","10,454",367,"18,771","5,006",75
02/07/2023,"2,388","4,198",0,"6,399",0,58
03/12/2023,"2,808","4,708",0,"6,475",0,21
13/02/2022,"2,005","2,887",0,"4,341",0,31
06/11/2021,"2,250","3,419",0,"4,524",0,35
10/09/2023,"2,654","4,737",0,"6,379",0,68
14/05/2021,"16,262","9,740",226,"17,216","5,391",82
11/05/2023,"16,353","10,707",334,"19,483","4,807",102
02/12/2023,"4,082","6,050",0,"8,568",0,24
06/09/2021,"2,147",864,27,"2,153",0,25
24/12/2020,"6,332","4,990",35,"7,565",0,41
09/07/2023,"2,186","4,229",0,"5,843",0,24
09/08/2024,"16,200","10,787",244,"18,997","4,777",62
12/12/2021,"2,015","3,304",0,"4,498",0,26
12/09/2024,"16,107","10,283",365,"18,880","4,627",78
01/02/2023,"16,147","10,628",334,"18,877","5,774",59
27/11/2023,"15,215","10,129",380,"17,883","4,383",67
31/08/2022,"14,360","8,657",233,"16,306","4,217",62
28/06/2020,"1,614","2,777",0,"3,759",0,1
05/05/2022,"14,014","8,862",254,"16,040","4,773",72
01/07/2020,"9,067","5,832",140,"10,841","3,578",3
04/04/2022,"13,714","7,935",266,"14,466","4,936",48
08/09/2019,"3,782","4,743",0,"5,886",0,0
11/03/2020,"20,182","12,363",491,"27,319","6,426",45
10/10/2022,"14,114","9,377",254,"16,357","3,943",134
04/01/2020,"2,177","5,018",0,"4,315",0,0
10/08/2020,"11,596","5,647",170,"11,223","5,176",58
03/11/2019,"2,642","3,748",0,"5,713",0,0
04/06/2024,"17,080","10,948",342,"19,202","5,177",70
23/03/2022,"14,095","8,541",232,"15,849","4,697",54
06/08/2021,"15,595","9,565",244,"16,451","5,047",64
05/04/2021,"2,153","3,185",0,"4,369",0,17
24/04/2021,"3,190","4,487",0,"6,112",0,16
29/11/2019,"17,761","12,660",317,"24,355","4,542",0
14/03/2021,"1,760","1,703",0,"4,112",0,12
31/01/2024,"16,769","10,269",368,"18,505","2,300",71
